Pays;Population;Superficie;Density
Allemagne;81197537;357.3;227253.1122
Autriche;8576261;83.9;102220.0358
Belgique;11258434;30.5;369128.9836
Bulgarie;7202198;111;64884.66667
Chypre;847008;9.3;91076.12903
Croatie;4225316;56.5;74784.35398
Danemark;5659715;42.9;131928.0886
Espagne;46449565;506;91797.55929
Estonie;1313271;45.2;29054.66814
Finlande;5471753;338.4;16169.48286
France;66415161;632.8;104954.4264
Grèce;10858018;132;82257.71212
Hongrie;9855571;93;105973.8817
Irlande;4628949;69.8;66317.32092
Italie;60795612;302.1;201243.3366
Lettonie;1986096;64.6;30744.52012
Lituanie;2921262;65.3;44736.01838
Luxembourg;562958;2.6;216522.3077
Malte;429344;0.3;1431146.667
Pays-Bas;16900726;41.5;407246.4096
Pologne;38005614;312.7;121540.1791
Portugal;10374822;92.2;112525.1844
République tchèque;10538275;78.9;133564.9556
Roumanie;19870647;238.4;83350.02936
Royaume-Uni;64875165;248.5;261067.0624
Slovaquie;5421349;49;110639.7755
Slovénie;2062874;20.3;101619.4089
Suède;9747355;438.6;22223.79161